Fed ID,District Code,CDS Code,County Name,District Type,Grade Low,Grade High,Grade Low Census,Grade High Census,Assistance Status,Locale,Enroll Total,Enroll Charter,Enroll Non Charter,African American,African American (%),American Indian,American Indian (%),Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Students with Disabilities,Students with Disabilities (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),District Label,District Name,EDP 365,Expense ADA,Expense per ADA,LEA Type,Decimal Difference
617520.0,71944,54719440000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,219.0,0.0,219.0,0.0,0.0,2.0,0.9,2.0,0.9,1.0,0.5,142.0,64.8,0.0,0.0,68.0,31.1,4.0,1.8,0.0,0.0,37.0,16.9,1.0,0.5,0.0,0.0,5.0,2.3,12.0,5.5,144.0,65.8,Hope Elementary (Tulare),Hope Elementary,3576799.13,213.76,16732.78,Elementary,0.02451347305389226
617640.0,71951,54719510000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.2,0.0,0.0,7.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,13.0,100.0,Hot Springs Elementary (Tulare),Hot Springs Elementary,413970.67,13.74,30128.87,Elementary,0.05385735080058226
619740.0,71969,54719690000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,401.0,0.0,401.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,382.0,95.3,0.0,0.0,15.0,3.7,2.0,0.5,0.0,0.0,188.0,46.9,5.0,1.2,27.0,6.7,13.0,3.2,37.0,9.2,364.0,90.8,Kings River Union Elementary (Tulare),Kings River Union Elementary,8128811.76,388.58,20919.27,Elementary,0.03196253023830361
621570.0,71985,54719850000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,819.0,0.0,819.0,14.0,1.7,14.0,1.7,12.0,1.5,4.0,0.5,428.0,52.3,1.0,0.1,325.0,39.7,11.0,1.3,10.0,1.2,49.0,6.0,0.0,0.0,3.0,0.4,0.0,0.0,46.0,5.6,367.0,44.8,Liberty Elementary (Tulare),Liberty Elementary,8625072.61,788.52,10938.31,Elementary,0.03865469487140468
621870.0,71993,54719930000000.0,Tulare,Unified,KG,12,KG,12,Differentiated Assistance,Town,3987.0,43.0,3944.0,9.0,0.2,8.0,0.2,24.0,0.6,1.0,0.0,3783.0,94.9,3.0,0.1,129.0,3.2,3.0,0.1,27.0,0.7,1298.0,32.6,20.0,0.5,356.0,8.9,698.0,17.5,386.0,9.7,3532.0,88.6,Lindsay Unified (Tulare),Lindsay Unified,85592719.2,3764.73,22735.42,Unified,0.05904009052442007
625350.0,72009,54720090000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,433.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,97.5,0.0,0.0,10.0,2.3,1.0,0.2,0.0,0.0,165.0,38.1,2.0,0.5,16.0,3.7,24.0,5.5,36.0,8.3,378.0,87.3,Monson-Sultana Joint Union Elementary (Tulare),Monson-Sultana Joint Union Elementary,7821351.24,425.86,18366.02,Elementary,0.01676607335744138
627900.0,72017,54720170000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,574.0,0.0,574.0,4.0,0.7,4.0,0.7,0.0,0.0,1.0,0.2,457.0,79.6,0.0,0.0,100.0,17.4,3.0,0.5,5.0,0.9,125.0,21.8,5.0,0.9,10.0,1.7,23.0,4.0,42.0,7.3,425.0,74.0,Oak Valley Union Elementary (Tulare),Oak Valley Union Elementary,10463476.77,543.44,19254.15,Elementary,0.056234358898866375
629160.0,72025,54720250000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,141.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,82.3,0.0,0.0,24.0,17.0,0.0,0.0,1.0,0.7,43.0,30.5,1.0,0.7,0.0,0.0,0.0,0.0,11.0,7.8,94.0,66.7,Outside Creek Elementary (Tulare),Outside Creek Elementary,1289447.53,129.57,9951.74,Elementary,0.08821486455197969
629670.0,72033,54720330000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,502.0,0.0,502.0,4.0,0.8,0.0,0.0,3.0,0.6,0.0,0.0,459.0,91.4,0.0,0.0,32.0,6.4,1.0,0.2,3.0,0.6,206.0,41.0,6.0,1.2,16.0,3.2,17.0,3.4,30.0,6.0,447.0,89.0,Palo Verde Union Elementary (Tulare),Palo Verde Union Elementary,8830783.21,482.16,18315.05,Elementary,0.0411481665837066
630630.0,72041,54720410000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,861.0,0.0,861.0,6.0,0.7,1.0,0.1,7.0,0.8,0.0,0.0,821.0,95.4,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,381.0,44.3,1.0,0.1,124.0,14.4,118.0,13.7,58.0,6.7,836.0,97.1,Pixley Union Elementary (Tulare),Pixley Union Elementary,17903441.46,815.14,21963.64,Elementary,0.056260274308707725
